ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;3
157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0.0;1858363054;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;4
184;93;26.8176;9.9;226.895;9.9;1;0;34.63;39.3434;32.8925;0.0;1858363083;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;3
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;5
228;36;28.6523;0.468;185.977;0.468;1;0;23.05;39.3672;32.9095;0.0;1858363084;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;4
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;6
114;193;33.2501;3.312;121.685;3.312;1;0;23.53;39.3612;32.9085;0.0;1858363141;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;5
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;7
43;132;36.557;2.484;125.48;2.484;1;0;18.57;39.358;32.9079;0.0;1858363171;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;6
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;8
167;213;42.7203;2.664;173.139;2.664;1;0;27.56;39.3569;32.9112;0.0;1858363258;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;7
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;9
144;150;47.3676;54.252;345.504;54.252;1;0;16.27;39.3566;32.9147;0.0;1858363316;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;8
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;10
187;160;50.257;0.792;205.703;0.792;1;0;35.1;39.3424;32.8953;0.0;1858363346;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;9
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;11
184;145;50.7898;1.692;143.866;1.692;1;0;20.18;39.3569;32.9183;0.0;1858363347;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;10
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;12
163;92;50.8008;3.42;121.602;3.42;1;0;40.81;39.3449;32.8994;0.0;1858363474;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;11
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;13
134;169;53.5254;3.924;84.0234;3.924;1;0;35.45;39.3449;32.9005;0.0;1858363475;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;12
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;14
5;86;59.6832;0.144;148.178;0.144;1;0;27.77;39.3494;32.9133;0.0;1858363479;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;13
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;15
54;214;58.7878;3.06;186.097;3.06;1;0;23.08;39.3443;32.9016;0.0;1858363480;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;70;26.4276;3.852;298.169;3.852;1;0;25.19;39.3598;32.9029;0;1858363054;12;0;0;0;0;0;0;0;14
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;16
43;168;57.1619;5.724;101.755;5.724;1;0;36.27;39.3519;32.9161;0.0;1858364344;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
