ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii;Count;MyUniqueID;TrackRadarID
60249;129;18.7152;7.56;278.69;7.56;1;0;27.62;39.3506;32.8948;0;228612724;12;0;0;0;0;0;0;0;558;60_249;1
1773;129;47.2906;26.676;154.99;26.676;1;0;35.66;39.3565;32.9144;0;228774154;12;0;0;0;0;0;0;0;244;177_3;2
167203;179;53.8495;1.26;111.676;1.26;1;0;29.13;39.345;32.9009;0;228829648;12;0;0;0;0;0;0;0;38;167_203;1
24944;236;39.8639;14.616;306.491;14.616;1;0;37.32;39.3597;32.9123;0;228876929;12;0;0;0;0;0;0;0;32;249_44;1
8857;14;69.2688;18.936;163.251;18.936;1;0;16.59;39.3468;32.9175;0;228830622;12;0;0;0;0;0;0;0;102;88_57;1
240228;211;42.951;52.956;145.563;52.956;1;0;31.28;39.3585;32.9133;0;228890881;12;0;0;0;0;0;0;0;5;240_228;2
110135;146;24.7302;72.684;139.466;72.684;1;0;20.44;39.367;32.9062;0;228694676;12;0;0;0;0;0;0;0;404;110_135;2
23231;219;55.7281;103.284;352.189;103.284;1;0;23.23;39.3526;32.916;0;228886920;12;0;0;0;0;0;0;0;16;23_231;2
164232;238;74.3555;57.78;168.052;57.78;1;0;32.08;39.3447;32.918;0;228853988;12;0;0;0;0;0;0;0;102;164_232;1
2296;0;69.7357;84.384;168.481;84.384;1;0;44.85;39.3466;32.9174;0;228886524;12;0;0;0;0;0;0;0;19;22_96;1
137143;144;31.5692;34.416;231.564;34.416;1;0;22.51;39.3593;32.9058;0;228878362;12;0;0;0;0;0;0;0;32;137_143;2
82111;62;75.1794;17.856;147.206;17.856;1;0;27.85;39.3446;32.9188;0;228628539;12;0;0;0;0;0;0;0;34;82_111;2
5822;89;35.1013;104.688;145.712;104.688;1;0;15.58;39.3618;32.9104;0;228878361;12;0;0;0;0;0;0;0;32;58_22;2
60;130;17.8473;14.76;287.507;14.76;1;0;26.97;39.3506;32.8946;0.0;228892930;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
221237;242;29.6356;32.868;131.446;32.868;1;0;18.45;39.3645;32.9083;0;228869887;12;0;0;0;0;0;0;0;6;221_237;2
60249;129;18.7152;7.56;278.69;7.56;1;0;27.62;39.3506;32.8948;0;228612724;12;0;0;0;0;0;0;0;559;60_249;1
49139;54;34.8102;9.828;294.285;9.828;1;0;31.22;39.3617;32.9103;0;228887952;12;0;0;0;0;0;0;0;6;49_139;1
17569;53;60.3479;10.008;327.678;10.008;1;0;18.33;39.3491;32.9133;0;228786975;12;0;0;0;0;0;0;0;17;175_69;1
1773;129;47.2906;26.676;154.99;26.676;1;0;35.66;39.3565;32.9144;0;228774154;12;0;0;0;0;0;0;0;245;177_3;2
167203;179;53.8495;1.26;111.676;1.26;1;0;29.13;39.345;32.9009;0;228829648;12;0;0;0;0;0;0;0;39;167_203;1
24944;236;39.8639;14.616;306.491;14.616;1;0;37.32;39.3597;32.9123;0;228876929;12;0;0;0;0;0;0;0;33;249_44;1
8857;14;69.2688;18.936;163.251;18.936;1;0;16.59;39.3468;32.9175;0;228830622;12;0;0;0;0;0;0;0;103;88_57;1
240228;211;42.951;52.956;145.563;52.956;1;0;31.28;39.3585;32.9133;0;228890881;12;0;0;0;0;0;0;0;6;240_228;2
110135;146;24.7302;72.684;139.466;72.684;1;0;20.44;39.367;32.9062;0;228694676;12;0;0;0;0;0;0;0;405;110_135;2
23231;219;55.7281;103.284;352.189;103.284;1;0;23.23;39.3526;32.916;0;228886920;12;0;0;0;0;0;0;0;17;23_231;2
164232;238;74.3555;57.78;168.052;57.78;1;0;32.08;39.3447;32.918;0;228853988;12;0;0;0;0;0;0;0;103;164_232;1
2296;0;69.7357;84.384;168.481;84.384;1;0;44.85;39.3466;32.9174;0;228886524;12;0;0;0;0;0;0;0;20;22_96;1
137143;144;31.5692;34.416;231.564;34.416;1;0;22.51;39.3593;32.9058;0;228878362;12;0;0;0;0;0;0;0;33;137_143;2
82111;62;75.1794;17.856;147.206;17.856;1;0;27.85;39.3446;32.9188;0;228628539;12;0;0;0;0;0;0;0;35;82_111;2
5822;89;35.1013;104.688;145.712;104.688;1;0;15.58;39.3618;32.9104;0;228878361;12;0;0;0;0;0;0;0;33;58_22;2
149;194;25.6696;16.848;75.52;16.848;1;0;26.15;39.3672;32.9073;0.0;228893212;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
221237;242;29.6356;32.868;131.446;32.868;1;0;18.45;39.3645;32.9083;0;228869887;12;0;0;0;0;0;0;0;7;221_237;2
60249;129;18.7152;7.56;278.69;7.56;1;0;27.62;39.3506;32.8948;0;228612724;12;0;0;0;0;0;0;0;560;60_249;1
49139;54;34.8102;9.828;294.285;9.828;1;0;31.22;39.3617;32.9103;0;228887952;12;0;0;0;0;0;0;0;7;49_139;1
17569;53;60.3479;10.008;327.678;10.008;1;0;18.33;39.3491;32.9133;0;228786975;12;0;0;0;0;0;0;0;18;175_69;1
1773;129;47.2906;26.676;154.99;26.676;1;0;35.66;39.3565;32.9144;0;228774154;12;0;0;0;0;0;0;0;246;177_3;2
167203;179;53.8495;1.26;111.676;1.26;1;0;29.13;39.345;32.9009;0;228829648;12;0;0;0;0;0;0;0;40;167_203;1
24944;236;39.8639;14.616;306.491;14.616;1;0;37.32;39.3597;32.9123;0;228876929;12;0;0;0;0;0;0;0;34;249_44;1
